"Name","Total Time","Total Time (CPU)","Invocations"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.RepeatFromHistory.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.RepeatFromHistory.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.RepeatLast.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.RepeatLast.<init> (prompt.CommandPrompt)","0,013 ms (-0 %)","0,013 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Pwd.<init> (prompt.CommandPrompt)","0,024 ms (-0 %)","0,024 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Mkdir.<init> (prompt.CommandPrompt)","0,023 ms (-0 %)","0,023 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.util.PathContainer.<init> (String)","0,019 ms (-0 %)","0,019 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Touch.<init> (prompt.CommandPrompt)","0,019 ms (-0 %)","0,018 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Mkdirs.<init> (prompt.CommandPrompt)","0,017 ms (-0 %)","0,017 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Ls.<init> (prompt.CommandPrompt)","0,016 ms (-0 %)","0,016 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatFromHistory.<init> (prompt.CommandPrompt)","0,016 ms (-0 %)","0,016 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatLast.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cd.<init> (prompt.CommandPrompt)","0,014 ms (-0 %)","0,014 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
